Unnamed: 0,text,label,clean_text
14,Comments say she is from SA .,0,comment say sa
15,Warning : Graphic .,0,warn graphic
16,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,0,die antwoord cooki thumper offici video youtub
17,The whites are more in the range of 4.8 million .,0,white rang million
18,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,0,believ higher sinc read report especi white free state count latest censu
19,Thank you for posting your story .,0,thank post stori
20,I think you should write a book as well .,0,think write book well
21,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",1,alway consid teach one profess would like get neighbourhood like never kid like disgust
22,And the sad thing is the white students at those schools will act like that too .,1,sad thing white student school act like
23,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",0,guess stick homeschool kid
24,Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .,0,randi blazak expert righth teach sociolog star trek credit class student actual pay
25,No wonder young people ca n't get jobs .,0,wonder young peopl ca nt get job
26,They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,0,take underwat basket weav cours worthwhil skill account angri still favorit comment
27,"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",0,old tarzan movi zulu king kong mani imag
28,National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .,0,nation geograph magazin earli replet color photo african villag
29,Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .,0,dr albert schweitzer twohour documentari shown movi theater everywher
30,I think VHS tapes are available at Amazon .,0,think vh tape avail amazon
31,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,1,god often pale skin blue eye suppos literaci nt valu highli cultur intelligencia
32,When the girl starts talking the guy in the middles lips start moving .,0,girl start talk guy middl lip start move
33,"He was checking her lines , bad actors ca n't help themselves from doing this .",0,check line bad actor ca nt help
34,This whole situation starts to become really bizarre .,0,whole situat start becom realli bizarr
35,I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,0,right sector support start sound fact isra agent
36,I do n't know who to support anymore ................,0,nt know support anymor
37,I've read many post on here saying Israel gives training to US law enforcement .,0,ive read mani post say israel give train us law enforc
38,I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,0,rememb boston marathon bomb watch fox news said law enforc consult israel advic
39,I believe his dog would like to get as far away from him as possible !,0,believ dog would like get far away possibl
40,Free North Carolina : Peterson 's particulars VikingInMe,0,free north carolina peterson particular vikinginm
41,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",0,accord section c job area given peopl well thank post
42,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,1,greec need man like adolf hitler perfect time start nation polit movement free countri zionist banker
43,The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,0,imag first week march freeman court judg bow sovereign canada youtub freeman court judg bow sovereign canada
44,I do n't watch T.V. or Hollywood movies .,0,nt watch tv hollywood movi
45,I know of Chris Rock and subsequently have hated him for a long time .,0,know chri rock subsequ hate long time
46,He is a pathetic little chimp .,1,pathet littl chimp
47,Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .,0,declar war innoc white popul nation could easili justifi anyon white nationalist
48,"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube .",0,seeker truth start watch benjamin freedman speak video youtub
49,"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube .",0,comwatch v hxbcyxjgm move watch loss liberti film youtub
50,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,0,comwatch v kbdgmvodm watch min obama aipac youtub
51,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,0,comwatch v krdycxpbf entir myron fagan video youtub
52,com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .,0,comwatch v okksbsoy free inform booklet video zionistengin intent destruct white peopl go youtub
53,com/watch ? v = n663eVTSyS8,0,comwatch v nevtsi
54,Note!,0,note
55,"Wntube is now .net , not .com.",0,wntube net com
56,They have improved the site .,0,improv site
57,Please contribute and/or donate .,0,pleas contribut andor donat
58,http://www.wntube.net/play.php ? vid = 1428 & code = 108,0,httpwwwwntubenetplayphp vid code
59,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,1,tri el paso texa soo much mudd invas river color playingcross year round
60,Welcome to the front lines ...,0,welcom front line
61,"Folk , Faith , Family Hail Victory !!",0,folk faith famili hail victori
62,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",1,video event worth watch see beauti white ladi scream scum scum scum f ing scum muslim filth
63,Protesters Clash during Military Parade in Barking,0,protest clash militari parad bark
64,Does this not show how stupid these folks can be ?,0,show stupid folk
65,"Let 's order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us .",0,let order pizza deliv tri assault driver one know catch us
66,Nice to know that are still a few men out there who `` have a pair '' .,0,nice know still men pair
67,Your courage and honestly are apprecated .,0,courag honestli apprec
68,Jesus Christ is Lord indeed .,0,jesu christ lord inde
69,Y' all have a nice day .,0,nice day
70,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",1,suppos concept male cow femal cow produc cow repeat process much understand
71,May they all get mad cow disease .,1,may get mad cow diseas
72,The sooner the better .,0,sooner better
73,"Yeah, but no one will ever hear of this .",0,yeah one ever hear
74,Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .,0,instead left shed tear black kid kill church bomb year ago
75,That's all I needed to hear .,0,that need hear
76,* Unsubscribed * Off to the SA threads .,0,unsubscrib sa thread
77,There are White folks that require a little of our time .,0,white folk requir littl time
78,I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .,0,guess mr pena forgot black speed skater gold glorifi nbc everi minut
79,I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,0,im sad find right also sorri inform kevin kill sever year ago
80,http://www.visioncircle.org/archive/003870.html,0,httpwwwvisioncircleorgarchivehtml
81,I'm having a hard time believing this .,0,im hard time believ
82,I have 2 friends in CS and neither has EVER worked with a black .,0,friend cs neither ever work black
83,"All their coworkers are white , NE asian or indian/paki , except one guy worked with a mestizo for a few weeks on a project .",0,cowork white ne asian indianpaki except one guy work mestizo week project
84,"Hundreds of people , but no blacks !",0,hundr peopl black
85,"I also attended a Masters/PhD graduation ceremony at a major state university a few years ago - none of the CS degrees were awarded to blacks. [ a couple computer degrees went to blacks , but they were in IT with a focus on internet marketing/web-commerce ] So where are all these black computer geniuses hiding ?",0,also attend mastersphd graduat ceremoni major state univers year ago none cs degre award black coupl comput degre went black focu internet marketingwebcommerc black comput genius hide
86,"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",0,hear homeschool kid beat public school kid spell bee
87,"Unfortunately , there are some poor White families where both parents work .",0,unfortun poor white famili parent work
88,"Perhaps if a school district has only a few White families left , they could get together and each parent could teach the kids one day per week .",0,perhap school district white famili left could get togeth parent could teach kid one day per week
89,The parents who could n't teach on weekdays could teach on Saturday .,0,parent could nt teach weekday could teach saturday
90,That was me .,0,
91,I have no intention of ever setting foot in Mexico so I 'll have to take your word for it .,0,intent ever set foot mexico take word
92,Excellent Article !! * * * * * Why Were n't They In Jail ?,0,excel articl nt jail
93,"Three of the four suspects in the death of a 12-year-old Moore County girl were repeat offenders , free on probation .",0,three four suspect death yearold moor counti girl repeat offend free probat
94,Steve Reed Reporter Three of the suspects charged with the murder of a 12-year old Moore County girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .,0,steve reed report three suspect charg murder year old moor counti girl given suspend sentenc crime free probat time slay
95,"Perry Ross Schiro , 19 , of Harnett County was charged yesterday with murder in the Sept. 21 shooting death of Emily Elizabeth Haddock .",0,perri ross schiro harnett counti charg yesterday murder sept shoot death emili elizabeth haddock
96,He is the fourth suspect to be charged with her murder .,0,fourth suspect charg murder
97,"Also charged are Sherrod Nicholas Harrison , 19 , Michael Graham Currie , 18 , and Van Roger Smith , 16 , all of Cameron in Harnett County .",0,also charg sherrod nichola harrison michael graham curri van roger smith cameron harnett counti
98,"Two of the suspects , Mr. Harrison and Mr. Currie , were repeat probation violators .",0,two suspect mr harrison mr curri repeat probat violat
99,Only Mr. Smith had no prior criminal record .,0,mr smith prior crimin record
100,"Mr. Schiro , the latest suspect to be charged in the killing , was arrested when a .22-caliber handgun , possibly the murder weapon , was found in his car .",0,mr schiro latest suspect charg kill arrest calib handgun possibl murder weapon found car
101,"He was also charged with burglary , larceny and possession of stolen property .",0,also charg burglari larceni possess stolen properti
102,All four suspects are being held without bond in the Moore County Jail .,0,four suspect held without bond moor counti jail
103,The Rest Of The Story,0,rest stori
104,"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?",1,nevermind found new page knew groid report rape
105,Surprised it came back so fast ...,0,surpris came back fast
106,http://www.wral.com/news/local/story/1850536/,0,httpwwwwralcomnewslocalstori
107,"Obama has membership in Prince Hall ( for blacks ) lodge and will become the next president , according to this guy : [ youtube = http://www.youtube.com/watch ? v = _ nLfRsReGII ] Zagami [ /youtube ]",0,obama membership princ hall black lodg becom next presid accord guy youtub httpwwwyoutubecomwatch v nlfrsregii zagami youtub
108,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,1,act negro aid right reproduc die way take care kid cant believ million crazi
109,Good.,0,good
110,I hope they all starve .,1,hope starv
111,No white person should send a single penny or lift a single finger to help them .,1,white person send singl penni lift singl finger help
112,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",1,he retard feral negro ye feral human cannot talk occasion pop abandon children
113,"He walks upright , and has human arms and legs .",1,walk upright human arm leg
114,I 've seen negroes who look ( and undoubtedly act ) like him .,1,seen negro look undoubtedli act like
115,http://www.occultopedia.com/f/feral_children.htmhttp://www.ling.lancs.ac.uk/chimp/la...E4/4kamala.htmhttp://www.occultopedia.com/w/wildpeter.htm Aragorn,0,httpwwwoccultopediacomfferalchildrenhtmhttpwwwlinglancsacukchimplaekamalahtmhttpwwwoccultopediacomwwildpeterhtm aragorn
116,"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",0,everi time see filthi comment georgia without provid fact respond
117,I will respond until Armenian scum will stop,1,respond armenian scum stop
118,"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's .",0,reason larg white famili encourag day build popul white german ravag jewish attack ww hyperinfl
119,I see a nation where I can walk out my front door and not feel like a minority in my own country .,0,see nation walk front door feel like minor countri
120,Where a white woman can go about in public and not fear assault by muds .,1,white woman go public fear assault mud
121,"No, I see that as giving up .",0,see give
122,"I hope one day to proudly say again that I am an American , when we take this country back .",0,hope one day proudli say american take countri back
123,BTL,0,btl
124,"OK, I have been through some of the other threads on this section about NS and watched a few videos on YT .",0,ok thread section ns watch video yt
125,It has obviously been misunderstood and i would been keen to learn more .,0,obvious misunderstood would keen learn
126,I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,1,retract alway alway anim lack skill properli rais half human child
127,I apologize for my ignorance .,0,apolog ignor
128,Baby steps .,0,babi step
129,"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",0,nt think anyon insinu equal non white would ignor white nation
130,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,1,white today much white guilt laid upon feel act black sexual relat children black accept problem white race memo
131,These people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .,0,peopl idea came knowledg guilt attach
132,If whites did have some knowledge and a little more recognition was put out there I think most of them would feel a little more pride of who they are and stick to the white race .,0,white knowledg littl recognit put think would feel littl pride stick white race
133,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,1,problem differ class insid race white sinc white join fight nonwhit enemi
134,If a person is white and he is a Christian or a Pagan then i consider him as my brother or sister no matter whatever profession he is into .,0,person white christian pagan consid brother sister matter whatev profess
135,Can you give any examples of progress made by skinheads or the Klan ?,0,give exampl progress made skinhead klan
136,Seems to me they are in precipitous decline .,0,seem precipit declin
137,Ive been around here for four years and seen almost no class divide .,0,ive around four year seen almost class divid
138,"I dont really like even talking about it , because I fear we will create a division where there is none .",0,dont realli like even talk fear creat divis none
139,Black ``women''on London transport ...,1,black womenon london transport
140,"Racist woman rant in London part 1 - YouTube ORIGINAL Racist Black Girls Fighting , South London Railway Balham to Mitcham 18.11.2011 - YouTube",0,racist woman rant london part youtub origin racist black girl fight south london railway balham mitcham youtub
141,"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",0,quotetrotisisnt south african chocol made oversea compani base sa british swiss would mar bar tast differ made sa compar one england quot would thought stuff tast differ
142,I think it has something to do with the type of sugar or where the sugar was originally grown .,0,think someth type sugar sugar origin grown
143,BTW - I do n't recall seeing a Mars Bar in S.A ?,0,btw nt recal see mar bar sa
144,I never drink diet anything either because of the aspartame and water is for the fish .,0,never drink diet anyth either aspartam water fish
145,"I try to avoid the GMO stuff too , but since they do n't label the stuff it 's hard to do .",0,tri avoid gmo stuff sinc nt label stuff hard
146,And then you need to avoid High Fructose Corn Syrup - bad for you and made from GM corn .,0,need avoid high fructos corn syrup bad made gm corn
147,You also need to avoid anything Soya .,0,also need avoid anyth soya
148,And then there is the pesticides on your fresh ( ? ) fruit and veggies .,0,pesticid fresh fruit veggi
149,And the non-edible chemicals in the processed and sometimes not so processed food .,0,noned chemic process sometim process food
150,In the end the only safe thing to eat is grass if you are lucky enough to have your own garden ( or grow your own food if you have the space ) and hope to hell the government here does n't do chemical spraying .,0,end safe thing eat grass lucki enough garden grow food space hope hell govern nt chemic spray
151,"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",0,hell way deliber poison surpris last long
152,"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",1,kept check may live actual planet ape soon
153,YouTube - & #x202a ; Kenya - Hacked to death by panga in front of film crew & #x202c ; & rlm ;,0,youtub xa kenya hack death panga front film crew xc rlm
154,Racist attack by blacks on a young white girl in France .,0,racist attack black young white girl franc
155,Negro holding the camera laughs with glee : Dailymotion - Agression raciste contre une jeune fille blanche - France - une vidéo News & Politics,0,negro hold camera laugh glee dailymot agress racist contr une jeun fill blanch franc une vido news polit
156,What happens when Popeye 's runs out of chicken YouTube - Popeyes Freakout ( Ghetto Vers .,0,happen popey run chicken youtub popey freakout ghetto ver
157,"2.0 ) * Does contain alot of profanity , so you have been forewarned *",0,contain alot profan forewarn
158,Negro rainforest `` music ''.,0,negro rainforest music
159,"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS",0,click video video comment full selfhat white youtub baka rainforest peopl yodel
160,What the ...,0,
161,"Non-Muslim Michigan High School students wear hijabs in school for class lesson to `` explore religion and identity '' | Pamela Geller , Atlas Shrugs",0,nonmuslim michigan high school student wear hijab school class lesson explor religion ident pamela geller atla shrug
162,I have n't been able to finish watching even one of these videos .,0,nt abl finish watch even one video
163,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,1,soon hear utter monkey gibberish feel like smash comput screen fist
164,That would be too expensive .,0,would expens
165,Thanks.,0,thank
166,I hope this will catch on like the 14 words .,0,hope catch like word
167,If anyone wants to post it in other forums feel free to do so .,0,anyon want post forum feel free
168,"It is very hard for average Whites to see their own disenfranchisement , let alone realize that it is planned .",0,hard averag white see disenfranchis let alon realiz plan
169,This is because much of the disenfranchisement is by way of destroying White cultural identity and pride .,0,much disenfranchis way destroy white cultur ident pride
170,So contributing and participating in any way to opportunities to instill pride in White ethnic heritage and even White American ethnic heritage will go a long way in helping them recognize what is being taken away .,0,contribut particip way opportun instil pride white ethnic heritag even white american ethnic heritag go long way help recogn taken away
171,Pffffft!,0,pffffft
172,"Ive seen that crap too , and thought WTF ?",0,ive seen crap thought wtf
173,I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,1,pictur babi monkey save rainforest comerci whatev
174,The only thing holding us back are our traitors and the 40billion anti-european people of the earth that flourished on our technology .,0,thing hold us back traitor billion antieuropean peopl earth flourish technolog
175,"Thanks for saving the picture but the one I saw was a black guy looking at a laptop and a White girl sitting next to him , laughing and hanging on him also looking at the laptop but they did n't show what was on the laptop .",0,thank save pictur one saw black guy look laptop white girl sit next laugh hang also look laptop nt show laptop
176,They were in a living room sitting on the couch implying that they were a couple .,0,live room sit couch impli coupl
177,Its really sad how so many whites just don`t even care and there actually happy that this is coming to be .,0,realli sad mani white dont even care actual happi come
178,There's more sex and sleaze condensed on the shelves of the check out line than you 'll get in 2 hours of TV - and 2 hours of TV is lethal to your spirit !,0,there sex sleaz condens shelv check line get hour tv hour tv lethal spirit
179,"And her husband is Tom Brady , this good-looking White Nordic guy : Here 's a photo of them with their ( white ) children :",0,husband tom bradi goodlook white nordic guy photo white children
180,I actually celebrate Black History Month .,0,actual celebr black histori month
181,I have a dream - one of these days Black occupation of America will be history !,1,dream one day black occup america histori
182,"Pathological killers , they are .",1,patholog killer
183,Jews have been poisoning wells since Biblical times .,1,jew poison well sinc biblic time
184,No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,1,wonder bad shape tribe charg white hous congress
185,The Jew represents the snake .,1,jew repres snake
186,All you need is to cut off it 's head and the rest of the problems will crumble away with ease,1,need cut head rest problem crumbl away eas
187,"I hate to see such beautiful white females become victims of these sick , violent merciless animals .",1,hate see beauti white femal becom victim sick violent merciless anim
188,Separation is the only answer !,1,separ answer
189,White Power !,0,white power
190,White Americans and White Europeons have too few children .,0,white american white europeon children
191,Other than the Amish no other group of whites have large families .,0,amish group white larg famili
192,Honestly the better idea is private schools for our people ; the average parent is a poor teacher .,0,honestli better idea privat school peopl averag parent poor teacher
193,The muslims have ultra strict racialist private schools the world over ; why do n't whites ?,0,muslim ultra strict racialist privat school world nt white
194,While they are in prison the kikes should get the same food the regular prison population gets ...,1,prison kike get food regular prison popul get
195,Who the hell cares if its not kosher ...,1,hell care kosher
196,This is n't the local 4 diamond Hilton situated on some sunny beach ...,0,nt local diamond hilton situat sunni beach
197,"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",1,ive felt anger read forum part speak loud voic fact exampl europ fact pase tv news news paper know enemi first pass vicori
198,We dont care about Alaska while it is not white land .,0,dont care alaska white land
199,We are more concerned about ZOG controlling US and Russia .,1,concern zog control us russia
200,"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?",1,nt white european american grow set ball deport black brown anim countri
201,"Another EuroRus update , more video and photos ! [ gvideo ] http://video.google.com/videoplay ? docid = 5268894597794277031 [ /gvideo ] A Fascinating Conversation Between Dr. Alfred Vierling & Dr. Duke !",0,anoth euroru updat video photo gvideo httpvideogooglecomvideoplay docid gvideo fascin convers dr alfr vierl dr duke
202,"Kris Roman , Jan Kristel , Dr. Alfred Vierling , Dr. David Duke , Thiery Van Roy , Frederik Ranson , Andreas Thierry , Stephanos Gekas .",0,kri roman jan kristel dr alfr vierl dr david duke thieri van roy frederik ranson andrea thierri stephano geka
203,Robert Steuckers and Dr. David Duke Gunther Van Den Eynde en Dr. David Duke Euro-Rus 2008 !,0,robert steucker dr david duke gunther van den eynd en dr david duke euroru
204,"Euro-Rus Евро-Русь For a great Europe , from Gibraltar to Vladivostok !",0,euroru great europ gibraltar vladivostok
205,http://www.eurorus.org/,0,httpwwweurorusorg
206,What would you have done instead ?,0,would done instead
207,"Ignore the genocide on Serbs , turn your back on your own people .",0,ignor genocid serb turn back peopl
208,Then you are a traitor .,0,traitor
209,"Ivan Ivanovich Shishkin , January 25 , 1832 March 20 , 1898 ( Иван Иванович Шишкин ) Felling of Forest , 1867 Landscape with a Lake At the Seashore , 1890 ( sketch ) Birch Grove , 1896 View at a Neighborhood of Petersburg , 1856 Swiss Landscape , 1866 Forest on the Eve of Thunderstorm , 1872 Oak Forest in a Grey day , 1873 ( sketch ) Swamp .",0,ivan ivanovich shishkin januari march fell forest landscap lake seashor sketch birch grove view neighborhood petersburg swiss landscap forest eve thunderstorm oak forest grey day sketch swamp
210,"Woodlands , 1890 Rain in an Oak Forest , 1891",0,woodland rain oak forest
211,"Finns mixed with swedes and got blond hair and blue eyes , but ethnical finn look like tatar : dark hair , dark eyes , short height , round face .",0,finn mix swede got blond hair blue eye ethnic finn look like tatar dark hair dark eye short height round face
212,The reasons : Alcoholism takes around 150000 lives every year .,0,reason alcohol take around live everi year
213,Aids - around 20000 every year .,0,aid around everi year
214,Emmigration - around 50000-100000 per year .,0,emmigr around per year
215,Heart diseases - around 100000 per year .,0,heart diseas around per year
216,High mortality rate - like country is at war .,0,high mortal rate like countri war
217,Lowest birthrate in world .,0,lowest birthrat world
218,"http://www.guardian.co.uk/russia/art...772175,00.html Attaboy , Putin .",0,httpwwwguardiancoukrussiaarthtml attaboy putin
219,"If I were in the audience , I 'd clap till my hands were numb .",0,audienc clap till hand numb
220,That 's telling worthless s.o.b.s like Cheney what they can do with their cheap words and crocodile tears .,0,tell worthless sob like cheney cheap word crocodil tear
221,I have long loved Tchaikovsky ballets and Mussorgsky operas and now I enjoy Russian traditional music as well .,0,long love tchaikovski ballet mussorgski opera enjoy russian tradit music well
222,"I just bought two CD 's featuring the Russian Radio Chorus Orchestra , Orchestra Vladimir Avramow , and St. Petersburg Balaika Ensemble playing such songs as St. Petersburg , Why Should I Be Sad , Dark Night , The Long Way , Wolga , So Many Days , Nastassja , Two Guitars , Fields , Hai-Da Trojka , Bandura , Tschubtschik , Troika , The Cossack , Our Little Village , Stenka Rasin , and many others .",0,bought two cd featur russian radio choru orchestra orchestra vladimir avramow st petersburg balaika ensembl play song st petersburg sad dark night long way wolga mani day nastassja two guitar field haida trojka bandura tschubtschik troika cossack littl villag stenka rasin mani other
223,"I was recently in Zaporojie , Ukraine , which has a famous Cossack enclave , where I had the opportunity to dine at a Cossack restaurant and listen to traditional Cossack music played live .",0,recent zaporoji ukrain famou cossack enclav opportun dine cossack restaur listen tradit cossack music play live
224,Listening to this music brings back memories of all my visits to Russia and Ukraine .,0,listen music bring back memori visit russia ukrain
225,Oh so we cannot post on this subject because at this moment in time we are not in the same AREA as you .... WHATEVER So I will wait maybe untill next spring when I go to LODZ And JP should wait untill he starts school this winter in Bratislava THEN can we post ?? ......... PLEASE SIR,0,oh cannot post subject moment time area whatev wait mayb until next spring go lodz jp wait until start school winter bratislava post pleas sir
226,"I keep telling people about things like this , and they never believe me .",0,keep tell peopl thing like never believ
227,I want to show them this thread .,0,want show thread
228,This is great !,0,great
229,It was until Kveldulf saw fit to open it up again with his unnecessary comments .,0,kveldulf saw fit open unnecessari comment
230,I have to go to work now .,0,go work
231,Hispanic: A woman threw her 2 1/2-year-old granddaughter several stories to her death from a walkway at a shopping mall http://www.news4jax.com/video/25962136/index.html negro : -- Police arrested a 17-year-old who they said burglarized a home over the Thanksgiving weekend .,0,hispan woman threw yearold granddaught sever stori death walkway shop mall httpwwwnewsjaxcomvideoindexhtml negro polic arrest yearold said burglar home thanksgiv weekend
232,"Jacksonville police said Brian Williams broke into the home on Braddock Road while the family was out of town and baked brownies , drank orange juice , surfed porn websites and loaded up the victim 's car with bottles of liquor .",0,jacksonvil polic said brian william broke home braddock road famili town bake browni drank orang juic surf porn websit load victim car bottl liquor
233,http://www.news4jax.com/news/25976955/detail.html,0,httpwwwnewsjaxcomnewsdetailhtml
234,SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !,1,sex male race black dob height weight eye brown hair black custodi misdemeanor count crimin trespass nd deg dude look like old version cornieli planet ape
235,LOL,0,lol
236,"You can have your site on Odins Rage but host your picture and zip files somewhere else like geocities.com , cause Odins Rage doesnt give much room .",0,site odin rage host pictur zip file somewher els like geocitiescom caus odin rage doesnt give much room
